Date,Total_Value,Cash_Accumulated
2016-09-21,19605.40558242798,20000
2016-09-22,19722.02582168579,20000
2016-09-23,19617.165103912354,20000
2016-09-26,19462.326419830322,20000
2016-09-27,19579.926120758057,20000
2016-09-28,19684.785343170166,20000
2016-09-29,19501.52582168579,20000
2016-09-30,20656.36600112915,21000
2016-10-03,20591.475498199463,21000
2016-10-04,20496.715686798096,21000
2016-10-05,20581.176441192627,21000
2016-10-06,20604.86600112915,21000
2016-10-07,20529.676441192627,21000
2016-10-10,20623.40524673462,21000
2016-10-11,20375.176441192627,21000
2016-10-12,20400.926441192627,21000
2016-10-13,20336.03593826294,21000
2016-10-14,20341.186252593994,21000
2016-10-17,20281.44606399536,21000
2016-10-18,20399.895435333252,21000
2016-10-19,20455.516315460205,21000
2016-10-20,20422.555561065674,21000
2016-10-21,20427.70587539673,21000
2016-10-24,20510.106189727783,21000
2016-10-25,20452.426441192627,21000
2016-10-26,20407.106189727783,21000
2016-10-27,20353.545749664307,21000
2016-10-28,20289.686252593994,21000
2016-10-31,21289.686252593994,22000
2016-11-01,21141.446186065674,22000
2016-11-02,21001.926319122314,22000
2016-11-03,20920.176319122314,22000
2016-11-04,20891.83525466919,22000
2016-11-07,21349.634922027588,22000
2016-11-08,21447.735919952393,22000
2016-11-09,21676.634922027588,22000
2016-11-10,21726.77565383911,22000
2016-11-11,21686.446186065674,22000
2016-11-14,21689.716053009033,22000
2016-11-15,21865.206119537354,22000
2016-11-16,21828.146518707275,22000
2016-11-17,21931.696186065674,22000
2016-11-18,21892.456119537354,22000
2016-11-21,22053.77565383911,22000
2016-11-22,22094.10512161255,22000
2016-11-23,22113.725986480713,22000
2016-11-25,22202.01572036743,22000
2016-11-28,22097.37498855591,22000
2016-11-29,22132.255786895752,22000
2016-11-30,23082.11505508423,23000
2016-12-01,22992.055820465088,23000
2016-12-02,23008.01575088501,23000
2016-12-05,23140.25616836548,23000
2016-12-06,23221.195194244385,23000
